GEOID,urban,majority_race_eth,pct_whiteown,pct_own,pct_female,tot_pop,med_age
25025000100,TRUE,nh_white,0.7352941176470589,0.2390158172231986,0.4696755994358251,4254,29.3
25025000201,TRUE,nh_white,0.8277404921700223,0.2762669962917182,0.5059678256357032,3854,28.3
25025000202,TRUE,nh_white,0.79957805907173,0.3114323258869908,0.49498069498069497,3885,29.5
25025000301,TRUE,nh_white,0.8529411764705882,0.39048400328137817,0.4908759124087591,2740,31.4
25025000302,TRUE,nh_white,0.8082408874801902,0.4687964338781575,0.5009548058561426,3142,29.4
25025000401,TRUE,nh_white,0.719758064516129,0.1672849915682968,0.5183356840620592,5672,28.9
25025000402,TRUE,nh_white,0.725,0.31108230719377833,0.4786184210526316,3648,26.7
25025000502,TRUE,nh_white,0.8579387186629527,0.17589416952474277,0.5418054894494685,6303,22.2
25025000503,TRUE,nh_white,0.8074712643678161,0.2471590909090909,0.535052012663953,2211,28.1
25025000504,TRUE,nh_white,0.7934362934362934,0.19002201027146,0.571715145436309,4985,27.5
25025000601,TRUE,nh_white,0.7554112554112554,0.30295081967213117,0.48417810137216466,3571,29.5
25025000602,TRUE,nh_white,0.7593582887700535,0.0918918918918919,0.5110719677906391,3974,28.6
25025000701,TRUE,nh_white,0.6784660766961652,0.1437049597286986,0.4966261808367072,4446,26.3
25025000703,TRUE,nh_white,0.574468085106383,0.03314527503526093,0.5016123253314224,2791,23.6
25025000704,TRUE,nh_white,0.620253164556962,0.1313929313929314,0.48802332847323476,4801,25.9
25025000802,TRUE,nh_white,0.6082004555808656,0.1403004154682007,0.433259587020649,8136,25.6
25025000803,TRUE,nh_white,0.625,0.008456659619450317,0.5627278250303767,6584,20.8
25025010103,TRUE,nh_white,0.8163265306122449,0.0928030303030303,0.6021011162179908,4569,19.8
25025010104,TRUE,nh_white,0.7880299251870324,0.18773408239700373,0.5405911740216486,4804,23.7
25025010203,TRUE,nh_white,0.8442622950819673,0.06661206661206662,0.49721673550008977,5569,26.9
25025010204,TRUE,nh_white,0.7839506172839507,0.12626656274356976,0.5433343838638512,3173,21.9
25025010300,TRUE,nh_white,0.7142857142857143,0.15144230769230768,0.6591236371117054,4861,20.2
25025010403,TRUE,nh_white,0.7603305785123967,0.05828516377649326,0.4748584748584749,3003,27.8
25025010404,TRUE,nh_white,0.7860696517412935,0.1079484425349087,0.5291387313047963,5817,21
25025010405,TRUE,nh_white,0.84375,0.096579476861167,0.5105034407823252,5522,21.1
25025010408,TRUE,nh_white,0.8686868686868687,0.10301768990634755,0.49719495091164095,1426,27
25025010500,TRUE,nh_white,0.8317307692307693,0.1177136389360498,0.5114980289093298,3044,26.9
25025010600,TRUE,nh_white,0.8664772727272727,0.1513978494623656,0.5171448565430371,2858,35.9
25025010701,TRUE,nh_white,0.9054945054945055,0.2845528455284553,0.4745762711864407,2478,30.1
25025010702,TRUE,nh_white,0.945054945054945,0.3877054169202678,0.525,2400,34.7
25025010801,TRUE,nh_white,0.9359605911330049,0.42759347024749866,0.5379087315846209,2783,35.5
25025010802,TRUE,nh_white,0.9203655352480418,0.3637226970560304,0.5047401111474338,3059,32.2
25025020101,TRUE,nh_white,0.9695067264573991,0.39623312011371714,0.5463868352015263,4193,36.3
25025020200,TRUE,nh_white,0.9196787148594378,0.2009685230024213,0.5508358454371061,3649,28.7
25025020301,TRUE,nh_white,0.8607594936708861,0.1676096181046676,0.532377656945131,2023,33.6
25025020302,TRUE,nh_white,0.9506726457399103,0.3092926490984743,0.5317527519051651,1181,29.2
25025020303,TRUE,nh_white,0.8603603603603603,0.24038982133188955,0.3914705882352941,3400,34.3
25025030100,TRUE,nh_white,0.9957983193277311,0.1728395061728395,0.5481064483111566,1954,29.5
25025030200,TRUE,nh_white,0.9826589595375722,0.15684496826835903,0.5399399399399399,1665,29.1
25025030300,TRUE,nh_white,0.9422222222222222,0.30405405405405406,0.45217569786535305,4872,41.4
25025030400,TRUE,nh_white,0.970873786407767,0.18625678119349007,0.5499796001631987,2451,28.9
25025030500,TRUE,nh_white,0.9616788321167883,0.3309178743961353,0.5275807722616234,2538,30.4
25025040100,TRUE,nh_white,0.9734513274336283,0.5472154963680388,0.5428966789667896,2168,36.8
25025040200,TRUE,nh_white,0.9569377990430622,0.2874828060522696,0.5448318804483188,1606,32.1
25025040300,TRUE,nh_white,0.9668874172185431,0.5189003436426117,0.5306543019062339,3882,33.1
25025040401,TRUE,nh_white,0.9681528662420382,0.38543371522094927,0.5481754817548176,2439,36.1
25025040600,TRUE,nh_white,0.9668587896253602,0.52023988005997,0.5184124386252046,2444,34.3
25025040801,TRUE,nh_white,0.919672131147541,0.2920057443752992,0.5471794871794872,3900,34.7
25025050101,TRUE,hispanic,0.7284263959390863,0.21297297297297296,0.47331378299120236,5115,30.2
25025050200,TRUE,hispanic,0.7340425531914894,0.2050163576881134,0.4769642515771363,5231,30.1
25025050300,TRUE,None,0.717948717948718,0.07492795389048991,0.5082185695246557,2251,33.2
25025050400,TRUE,hispanic,0.8200836820083682,0.23091787439613526,0.44477234401349075,2372,33.1
25025050500,TRUE,hispanic,0.8873239436619719,0.2022792022792023,0.45234248788368336,1857,32.7
25025050600,TRUE,hispanic,0.7806451612903226,0.19230769230769232,0.4178380998545807,2063,32
25025050700,TRUE,hispanic,0.7542857142857143,0.21793275217932753,0.4391651865008881,4504,30.7
25025050901,TRUE,hispanic,0.7788944723618091,0.2752420470262794,0.4624249699879952,4165,30.6
25025051000,TRUE,nh_white,0.9069767441860465,0.289237668161435,0.5155294693078992,4089,35.9
